DATA,PRATOPRINCIPAL,OVOS,VEGETARIANO,GUARNICAO,ARROZ,FEIJAO,SALADA1,SALADA2,SUCO,SOBREMESA,HORARIO
08/07,CUBO BOVINO AOMOLHO MADEIRA,FRITO/COZIDO,LENTILHA AO SUGO,FAROFA CROCANTE,BRANCO/INTEGRAL,VERMELHO,REPOLHO VERDE,PEPINO COM TOMATE,LIMÃO,LARANJA,ALMOÇO
08/07,ISCA DE FRANGO COMPIMENTÕES COLORIDOS,FRITO/COZIDO,QUIBE DE ORO-PRO-NOBIS E LINHAÇA,MACARRÃO AO SUGO,BRANCO/INTEGRAL,VERMELHO,REPOLHO VERDE,CENOURA COZIDA,LIMÃO,MELANCIA/BANANADA,JANTAR
09/07,ISCA SUÍNA ACEBOLADA,FRITO/COZIDO,CROQUETE DE AVEIA COM CHIA EMORANGA,ANGU,BRANCO/INTEGRAL,CARIOCA,COUVE,CAPONATA DEBERINJELA,LARANJA,MAÇÃ/ DOCE DE LEITE,ALMOÇO
09/07,MOQUECA DE PEIXE,FRITO/COZIDO,"STROGONOFF DE GRÃOS GRÃO DE BICO,ERVILHA E LENTILHA",REPOLHO BÚLGARO,BRANCO/INTEGRAL,CARIOCA,COUVE,TOMATE EM RODELAS,LARANJA,BANANA,JANTAR
10/07,LASANHA À BOLONHESA,FRITO/COZIDO,LASANHA DE ABOBRINHA,CHUCHU AO ALHO,BRANCO/INTEGRAL,PRETO,MIX DE ALFACE(VERDE E ROXA),BETERRABA RALADA,MELANCIA,LARANJA,ALMOÇO
10/07,ISCA SUÍNA ACEBOLADA,FRITO/COZIDO,BATATA BAROA COM ERVILHA E CHIA,VIRADO DE CEBOLA,BRANCO/INTEGRAL,PRETO,MIX DE ALFACE(VERDE E ROXA),TABULE,MELANCIA,MAÇÃ/GOIABADACREMOSA,JANTAR
11/07,CARNE DE PANELA,FRITO/COZIDO,BOLINHO DE FEIJÃO,CANJIQUINHA,BRANCO/INTEGRAL,VERMELHO,ALFACE CRESPA,CENOURA RALADA,MARACUJÁ,BANANA,ALMOÇO
11/07,FRANGO XADREZ,FRITO/COZIDO,"FEIJÃO BRANCO COM MORANGA, VAGEM ECHIA",POLENTA TEMPERADA,BRANCO/INTEGRAL,VERMELHO,ALFACE CRESPA,BETERRABA COZIDA,MARACUJÁ,MELANCIA/PAÇOCA,JANTAR
12/07,CUBOS MISTOS,FRITO/COZIDO,QUIBE DE ABÓBORA,CALDO DE MANDIOCA,BRANCO/INTEGRAL,CARIOCA,ALMEIRÃO,VINAGRETE,ABACAXI,MAÇÃ/GELATINA DEMORANGO,ALMOÇO
12/07,SOBRECOXA ASSADA,FRITO/COZIDO,GRÃO DE BICO AO SUGO,POLENTA TEMPERADA,BRANCO/INTEGRAL,CARIOCA,ALMEIRÃO,ABOBRINHA RALADA,ABACAXI,LARANJA,JANTAR
